,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 11.95 - Execution Time: 0.23721981048583984",0.00,0.00,0.98,0.00,0.49,0.08,35,1814,0,1814,76718,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 9.75 - Execution Time: 0.24769830703735352",0.00,0.00,0.97,0.00,0.49,0.08,35,2102,0,2102,76430,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 5.47 - Execution Time: 0.23105907440185547",0.00,0.00,0.97,0.00,0.48,0.08,35,2366,0,2366,76166,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.22705745697021484",0.00,0.09,0.93,0.00,0.51,0.08,35,5506,3,5503,73029,32
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.213972806930542",0.00,0.20,0.88,0.00,0.54,0.08,35,9764,7,9757,68775,28
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.21470928192138672",0.00,0.20,0.82,0.00,0.51,0.08,35,14242,7,14235,64297,28
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 11.95 - Execution Time: 0.48576855659484863",0.00,0.00,0.98,0.00,0.49,0.08,35,1925,0,1925,76607,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 9.75 - Execution Time: 0.4773406982421875",0.00,0.00,0.97,0.00,0.48,0.08,35,2492,0,2492,76040,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 5.47 - Execution Time: 0.4989330768585205",0.00,0.00,0.96,0.00,0.48,0.08,35,2780,0,2780,75752,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.49460363388061523",0.00,0.03,0.95,0.00,0.49,0.08,35,3803,1,3802,74730,34
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.4993586540222168",0.00,0.03,0.92,0.00,0.47,0.08,35,6576,1,6575,71957,34
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.49634408950805664",0.00,0.03,0.87,0.00,0.45,0.08,35,9889,1,9888,68644,34
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 11.95 - Execution Time: 0.7612872123718262",0.00,0.00,0.98,0.00,0.49,0.08,35,1762,0,1762,76770,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 9.75 - Execution Time: 0.7402892112731934",0.00,0.00,0.97,0.00,0.49,0.08,35,2154,0,2154,76378,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 5.47 - Execution Time: 0.7358343601226807",0.00,0.00,0.97,0.00,0.49,0.08,35,2301,0,2301,76231,35
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.720332145690918",0.00,0.03,0.95,0.00,0.49,0.08,35,4235,1,4234,74298,34
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.7400803565979004",0.00,0.03,0.92,0.00,0.47,0.08,35,6571,1,6570,71962,34
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.7201299667358398",0.00,0.09,0.88,0.00,0.48,0.08,35,9783,3,9780,68752,32
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.01 - Execution Time: 0.2381885051727295",0.00,0.00,1.00,0.00,0.50,0.08,35,150,0,150,78382,35
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.03 - Execution Time: 0.22719073295593262",0.00,0.00,0.98,0.00,0.49,0.08,35,1844,0,1844,76688,35
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.34 - Execution Time: 0.22568058967590332",0.00,0.00,0.97,0.00,0.48,0.08,35,2382,0,2382,76150,35
