,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.06 - Execution Time: 0.14284133911132812",0.00,0.00,0.98,0.00,0.49,0.07,5,483,0,483,25701,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.25 - Execution Time: 0.13173890113830566",0.00,0.00,0.85,0.00,0.42,0.07,5,3969,0,3969,22215,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.0 - Execution Time: 0.13998913764953613",0.00,0.00,0.80,0.00,0.40,0.07,5,5187,0,5187,20997,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.16 - Execution Time: 0.1302940845489502",0.00,0.40,0.72,0.00,0.56,0.07,5,7375,2,7373,18811,3
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 0.2500905990600586",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.17 - Execution Time: 0.25672483444213867",0.00,0.00,0.99,0.00,0.49,0.07,5,343,0,343,25841,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.6 - Execution Time: 0.25728392601013184",0.00,0.00,0.98,0.00,0.49,0.07,5,497,0,497,25687,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.02 - Execution Time: 0.25664258003234863",0.00,0.00,0.95,0.00,0.47,0.07,5,1395,0,1395,24789,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.27 - Execution Time: 0.25672221183776855",0.00,0.00,0.79,0.00,0.40,0.07,5,5463,0,5463,20721,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.26 - Execution Time: 0.2568943500518799",0.00,0.00,0.75,0.00,0.38,0.07,5,6438,0,6438,19746,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.01 - Execution Time: 0.37491941452026367",0.00,0.00,1.00,0.00,0.50,0.07,5,1,0,1,26183,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.02 - Execution Time: 0.3754768371582031",0.00,0.00,0.99,0.00,0.49,0.07,5,344,0,344,25840,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.48 - Execution Time: 0.374866247177124",0.00,0.00,0.98,0.00,0.49,0.07,5,489,0,489,25695,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.03 - Execution Time: 0.3815619945526123",0.00,0.00,0.95,0.00,0.47,0.07,5,1351,0,1351,24833,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=150, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.36 - Execution Time: 0.3749654293060303",0.00,0.00,0.81,0.00,0.40,0.07,5,5064,0,5064,21120,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.14 - Execution Time: 0.3794729709625244",0.00,0.00,0.76,0.00,0.38,0.07,5,6285,0,6285,19899,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.001, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 11.87 - Execution Time: 1.988558053970337",0.00,0.00,0.98,0.00,0.49,0.07,5,417,0,417,25767,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.005, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 8.71 - Execution Time: 1.981717586517334",0.00,0.00,0.98,0.00,0.49,0.07,5,618,0,618,25566,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.01, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 6.7 - Execution Time: 1.987518548965454",0.00,0.00,0.97,0.00,0.49,0.07,5,688,0,688,25496,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.05, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.19 - Execution Time: 1.9545543193817139",0.00,0.00,0.95,0.00,0.47,0.07,5,1320,0,1320,24864,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.1, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.17 - Execution Time: 1.9588584899902344",0.00,0.00,0.91,0.00,0.46,0.07,5,2244,0,2244,23940,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.15, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.15 - Execution Time: 1.9785537719726562",0.00,0.00,0.87,0.00,0.43,0.07,5,3494,0,3494,22690,5
"DailyYield_B (KW) - ABOD(contamination=0.001, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.9053688049316406",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.005, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.8820793628692627",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.01, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.869718313217163",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
