,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.87 - Execution Time: 2.553384304046631",0.00,0.00,0.98,0.00,0.49,0.12,56,2272,0,2272,128616,56
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.3 - Execution Time: 2.416008472442627",0.00,0.48,0.89,0.00,0.69,0.12,56,13853,27,13826,117062,29
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.06 - Execution Time: 2.4224607944488525",0.00,0.00,0.88,0.00,0.44,0.12,56,15422,0,15422,115466,56
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.09 - Execution Time: 2.6856157779693604",0.00,0.27,0.82,0.00,0.54,0.12,56,23691,15,23676,107212,41
"DailyYield_B (KW) - ECOD(contamination=0.001, n_jobs=1) - Threshold: std * 8.11 - Execution Time: 0.14415216445922852",0.00,0.00,1.00,0.00,0.50,0.12,56,505,0,505,130383,56
"DailyYield_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 6.26 - Execution Time: 0.1288142204284668",0.00,0.00,0.99,0.00,0.50,0.12,56,704,0,704,130184,56
"DailyYield_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.45 - Execution Time: 0.12066960334777832",0.00,0.00,0.99,0.00,0.50,0.12,56,1181,0,1181,129707,56
"DailyYield_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.32 - Execution Time: 0.4382963180541992",0.00,0.00,0.97,0.00,0.49,0.12,56,3331,0,3331,127557,56
"DailyYield_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 3.28 - Execution Time: 0.1545560359954834",0.00,0.00,0.95,0.00,0.48,0.12,56,6126,0,6126,124762,56
"DailyYield_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 2.98 - Execution Time: 0.17074251174926758",0.00,0.52,0.85,0.00,0.69,0.12,56,19012,29,18983,111905,27
