,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 9.84 - Execution Time: 0.1683027744293213",0.00,0.00,0.97,0.00,0.49,0.07,14,1542,0,1542,50822,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 9.01 - Execution Time: 0.16254734992980957",0.00,0.00,0.97,0.00,0.48,0.07,14,1756,0,1756,50608,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 6.23 - Execution Time: 0.16311860084533691",0.00,0.00,0.96,0.00,0.48,0.07,14,1938,0,1938,50426,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.16563081741333008",0.00,0.07,0.92,0.00,0.50,0.07,14,4086,1,4085,48279,13
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.18753528594970703",0.00,0.07,0.87,0.00,0.47,0.07,14,6720,1,6719,45645,13
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.15891289710998535",0.00,0.07,0.82,0.00,0.44,0.07,14,9672,1,9671,42693,13
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 9.84 - Execution Time: 0.33402156829833984",0.00,0.00,0.97,0.00,0.48,0.07,14,1657,0,1657,50707,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 9.01 - Execution Time: 0.3360018730163574",0.00,0.00,0.96,0.00,0.48,0.07,14,2123,0,2123,50241,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 6.23 - Execution Time: 0.32700467109680176",0.00,0.00,0.96,0.00,0.48,0.07,14,2326,0,2326,50038,14
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.01 - Execution Time: 0.32773470878601074",0.00,0.07,0.94,0.00,0.51,0.07,14,3009,1,3008,49356,13
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.3362600803375244",0.00,0.07,0.90,0.00,0.49,0.07,14,4968,1,4967,47397,13
