,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.81 - Execution Time: 0.5223071575164795",0.00,0.00,0.96,0.00,0.48,0.80,14,2084,0,2084,50280,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.61 - Execution Time: 0.5300061702728271",0.00,0.00,0.90,0.00,0.45,0.80,14,5011,0,5011,47353,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.21 - Execution Time: 0.5310258865356445",0.00,0.00,0.86,0.00,0.43,0.80,14,7530,0,7530,44834,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.09 - Execution Time: 0.5242400169372559",0.00,0.00,0.81,0.00,0.41,0.80,14,9771,0,9771,42593,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.11 - Execution Time: 1.0166962146759033",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.84 - Execution Time: 1.0412437915802002",0.00,0.00,0.98,0.00,0.49,0.80,14,1268,0,1268,51096,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.09 - Execution Time: 1.1183586120605469",0.00,0.00,0.96,0.00,0.48,0.80,14,2105,0,2105,50259,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.8 - Execution Time: 1.1247429847717285",0.00,0.00,0.90,0.00,0.45,0.80,14,5033,0,5033,47331,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.25 - Execution Time: 1.0211122035980225",0.00,0.00,0.84,0.00,0.42,0.80,14,8253,0,8253,44111,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.3 - Execution Time: 1.0330452919006348",0.00,0.00,0.80,0.00,0.40,0.80,14,10612,0,10612,41752,14
