,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 5.74 - Execution Time: 0.3112833499908447",0.00,0.00,1.00,0.00,0.50,0.50,56,548,0,548,130340,56
"DailyYield_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.27 - Execution Time: 0.4884200096130371",0.00,0.00,0.99,0.00,0.49,0.50,56,1643,0,1643,129245,56
"DailyYield_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.46 - Execution Time: 0.29013824462890625",0.00,0.00,0.97,0.00,0.49,0.50,56,3918,0,3918,126970,56
"DailyYield_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 3.46 - Execution Time: 0.3002283573150635",0.00,0.45,0.88,0.00,0.66,0.50,56,15339,25,15314,115574,31
"DailyYield_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 2.99 - Execution Time: 0.3302650451660156",0.00,0.52,0.83,0.00,0.67,0.50,56,22211,29,22182,108706,27
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 9.32607889175415",0.11,0.69,1.00,0.19,0.84,0.50,96,581,66,515,130333,30
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 5.583027124404907",0.05,0.70,0.99,0.09,0.84,0.50,96,1368,67,1301,129547,29
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 5.9099531173706055",0.02,0.72,0.97,0.04,0.85,0.50,96,3687,69,3618,127230,27
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.46737813949585",0.02,0.72,0.97,0.04,0.85,0.50,96,3687,69,3618,127230,27
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 5.967624664306641",0.02,0.72,0.97,0.04,0.85,0.50,96,3687,69,3618,127230,27
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.492809295654297",0.12,0.80,1.00,0.21,0.90,0.50,96,655,77,578,130270,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.294580936431885",0.06,0.80,0.99,0.11,0.90,0.50,96,1336,77,1259,129589,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.481244325637817",0.01,0.80,0.95,0.02,0.88,0.50,96,6276,77,6199,124649,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.813999652862549",0.01,0.80,0.93,0.02,0.87,0.50,96,8923,77,8846,122002,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.672733545303345",0.01,0.80,0.93,0.02,0.87,0.50,96,8923,77,8846,122002,19
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.87 - Execution Time: 0.906848669052124",0.08,0.39,1.00,0.14,0.69,0.50,96,444,37,407,130441,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.1 - Execution Time: 0.8537976741790771",0.04,0.39,0.99,0.07,0.69,0.50,96,957,37,920,129928,59
