,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 11.74 - Execution Time: 1.2396252155303955",0.00,0.00,1.00,0.00,0.50,0.90,5,28,0,28,26156,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 6.46 - Execution Time: 1.1842865943908691",0.00,0.00,0.99,0.00,0.50,0.90,5,130,0,130,26054,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 4.19 - Execution Time: 1.1171715259552002",0.00,0.00,0.99,0.00,0.50,0.90,5,237,0,237,25947,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.1723074913024902",0.00,0.00,0.95,0.00,0.48,0.90,5,1221,0,1221,24963,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.115781545639038",0.00,0.00,0.89,0.00,0.44,0.90,5,2980,0,2980,23204,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.1638078689575195",0.00,0.00,0.83,0.00,0.41,0.90,5,4524,0,4524,21660,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 12.88 - Execution Time: 1.6698405742645264",0.00,0.00,1.00,0.00,0.50,0.90,5,29,0,29,26155,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 7.3 - Execution Time: 1.6064562797546387",0.00,0.00,0.99,0.00,0.50,0.90,5,139,0,139,26045,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 5.22 - Execution Time: 1.5971500873565674",0.00,0.00,0.99,0.00,0.50,0.90,5,242,0,242,25942,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.5750949382781982",0.00,0.00,0.94,0.00,0.47,0.90,5,1489,0,1489,24695,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.5806269645690918",0.00,0.00,0.89,0.00,0.45,0.90,5,2879,0,2879,23305,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.5655786991119385",0.00,0.00,0.81,0.00,0.41,0.90,5,4858,0,4858,21326,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 12.49 - Execution Time: 2.108415365219116",0.00,0.00,1.00,0.00,0.50,0.90,5,31,0,31,26153,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 6.75 - Execution Time: 2.192760467529297",0.00,0.00,0.99,0.00,0.50,0.90,5,237,0,237,25947,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 5.63 - Execution Time: 2.1209497451782227",0.00,0.00,0.99,0.00,0.49,0.90,5,333,0,333,25851,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.0906929969787598",0.00,0.00,0.95,0.00,0.48,0.90,5,1285,0,1285,24899,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.076080322265625",0.00,0.00,0.89,0.00,0.44,0.90,5,2896,0,2896,23288,5
"DailyYield_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.175994873046875",0.00,0.00,0.81,0.00,0.41,0.90,5,4868,0,4868,21316,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.11 - Execution Time: 0.5584535598754883",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.66 - Execution Time: 0.6094887256622314",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.74 - Execution Time: 0.6141207218170166",0.00,0.00,0.99,0.00,0.49,0.90,5,339,0,339,25845,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.5 - Execution Time: 0.5948960781097412",0.00,0.00,0.94,0.00,0.47,0.90,5,1678,0,1678,24506,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.2 - Execution Time: 0.5969276428222656",0.00,0.00,0.88,0.00,0.44,0.90,5,3209,0,3209,22975,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.09 - Execution Time: 0.5772812366485596",0.00,0.40,0.83,0.00,0.61,0.90,5,4514,2,4512,21672,3
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.19 - Execution Time: 1.1099827289581299",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.46 - Execution Time: 1.1319031715393066",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.39 - Execution Time: 1.1418836116790771",0.00,0.00,0.99,0.00,0.49,0.90,5,341,0,341,25843,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.42 - Execution Time: 1.1878042221069336",0.00,0.00,0.94,0.00,0.47,0.90,5,1673,0,1673,24511,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.13 - Execution Time: 1.1981749534606934",0.00,0.00,0.87,0.00,0.44,0.90,5,3379,0,3379,22805,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.01 - Execution Time: 1.1015827655792236",0.00,0.00,0.84,0.00,0.42,0.90,5,4193,0,4193,21991,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.24 - Execution Time: 1.7067396640777588",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.71 - Execution Time: 1.6470682621002197",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.85 - Execution Time: 1.6721246242523193",0.00,0.00,0.99,0.00,0.49,0.90,5,339,0,339,25845,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.47 - Execution Time: 1.6523871421813965",0.00,0.00,0.93,0.00,0.47,0.90,5,1735,0,1735,24449,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=150, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.13 - Execution Time: 1.7764017581939697",0.00,0.00,0.88,0.00,0.44,0.90,5,3089,0,3089,23095,5
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.14 - Execution Time: 1.733961820602417",0.00,0.00,0.81,0.00,0.41,0.90,5,4944,0,4944,21240,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.001, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 10.12 - Execution Time: 3.027174472808838",0.00,0.00,1.00,0.00,0.50,0.90,5,42,0,42,26142,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.005, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 7.59 - Execution Time: 3.103618860244751",0.00,0.00,0.99,0.00,0.49,0.90,5,277,0,277,25907,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.01, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 5.06 - Execution Time: 3.1396284103393555",0.00,0.00,0.98,0.00,0.49,0.90,5,428,0,428,25756,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.05, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 2.53 - Execution Time: 3.3728139400482178",0.00,0.00,0.93,0.00,0.46,0.90,5,1873,0,1873,24311,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.1, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 1.69 - Execution Time: 3.879101037979126",0.00,0.00,0.92,0.00,0.46,0.90,5,2053,0,2053,24131,5
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.15, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 1.69 - Execution Time: 3.5122368335723877",0.00,0.00,0.92,0.00,0.46,0.90,5,2053,0,2053,24131,5
"DailyYield_B (KW) - ABOD(contamination=0.001, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 16.311994791030884",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.005, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 15.673923969268799",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.01, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.852192401885986",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.05, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 15.042026996612549",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.1, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.317723989486694",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.15, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.263815879821777",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.001, n_bins=10, tol=0.5) - Threshold: std * 2463.74 - Execution Time: 0.009650945663452148",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.005, n_bins=10, tol=0.5) - Threshold: std * 2463.74 - Execution Time: 0.01001596450805664",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.01, n_bins=10, tol=0.5) - Threshold: std * 2463.74 - Execution Time: 0.013034343719482422",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.05, n_bins=10, tol=0.5) - Threshold: std * 2463.2 - Execution Time: 0.013597726821899414",0.00,0.00,0.97,0.00,0.48,0.90,5,904,0,904,25280,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.1, n_bins=10, tol=0.5) - Threshold: std * 2463.2 - Execution Time: 0.014347076416015625",0.00,0.00,0.90,0.00,0.45,0.90,5,2672,0,2672,23512,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.15, n_bins=10, tol=0.5) - Threshold: std * 2463.05 - Execution Time: 0.00936269760131836",0.00,0.00,0.90,0.00,0.45,0.90,5,2672,0,2672,23512,5
"DailyYield_B (KW) - ECOD(contamination=0.001, n_jobs=1) - Threshold: std * 5.45 - Execution Time: 0.11946439743041992",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 5.26 - Execution Time: 0.11522865295410156",0.00,0.00,1.00,0.00,0.50,0.90,5,0,0,0,26184,5
"DailyYield_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.17 - Execution Time: 0.11936211585998535",0.00,0.00,0.99,0.00,0.49,0.90,5,338,0,338,25846,5
"DailyYield_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.42 - Execution Time: 0.11718463897705078",0.00,0.00,0.95,0.00,0.48,0.90,5,1197,0,1197,24987,5
"DailyYield_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 3.33 - Execution Time: 0.11343836784362793",0.00,0.00,0.83,0.00,0.41,0.90,5,4543,0,4543,21641,5
"DailyYield_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 3.33 - Execution Time: 0.11946439743041992",0.00,0.00,0.78,0.00,0.39,0.90,5,5886,0,5886,20298,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 305.92 - Execution Time: 7.920786380767822",0.40,0.29,1.00,0.33,0.64,0.90,7,5,2,3,26179,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 304.47 - Execution Time: 8.055109739303589",0.02,0.43,0.99,0.04,0.71,0.90,7,138,3,135,26047,4
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 304.06 - Execution Time: 8.020737171173096",0.01,0.43,0.99,0.02,0.71,0.90,7,317,3,314,25868,4
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 303.98 - Execution Time: 7.982165336608887",0.01,0.43,0.98,0.01,0.70,0.90,7,508,3,505,25677,4
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 303.98 - Execution Time: 7.906062602996826",0.01,0.43,0.98,0.01,0.70,0.90,7,508,3,505,25677,4
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 303.98 - Execution Time: 7.908826589584351",0.01,0.43,0.98,0.01,0.70,0.90,7,508,3,505,25677,4
